// Start Time: 00/00/   0 - 01:10:50
// Sample rate: 120.0Hz
// Scenario: 10.8
// Firmware Version: 2.6.1
Counter	Temperature	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	
43120	27.50	-9.786858	0.380128	0.469028	0.011950	-0.011256	0.001086	1.735953	0.008111	-0.222300	
43121	27.50	-9.772263	0.380142	0.461819	-0.005272	-0.008434	-0.010430	1.734197	0.007344	-0.222556	
43122	27.50	-9.769848	0.377685	0.466674	0.005068	-0.005865	-0.002433	1.737499	0.005634	-0.220332	
43123	27.50	-9.762546	0.384955	0.461846	0.003344	-0.005850	-0.003328	1.733951	0.008617	-0.222816	
43124	27.50	-9.772249	0.382594	0.456972	0.003375	0.006587	-0.002311	1.736374	0.008700	-0.221271	
43125	27.50	-9.767405	0.380130	0.461836	0.001632	-0.003165	-0.005056	1.734752	-0.000362	-0.225290	
43126	27.50	-9.767396	0.365654	0.457020	-0.002737	-0.001437	0.003549	1.734543	0.001509	-0.224798	
43127	27.50	-9.784419	0.389812	0.466598	-0.008807	-0.005866	0.003401	1.735723	0.002346	-0.223464	
43128	27.50	-9.772276	0.382527	0.466656	-0.005296	-0.000495	-0.002541	1.735324	0.007985	-0.222470	
43129	27.50	-9.774667	0.375379	0.452134	0.001597	-0.004984	0.000119	1.735123	0.005627	-0.220754	
43130	27.50	-9.772235	0.385046	0.452126	-0.001793	-0.000452	-0.009409	1.734314	0.006586	-0.222551	
43131	27.50	-9.786809	0.387500	0.452067	-0.012173	-0.005732	-0.012240	1.735941	0.009518	-0.219929	
43132	27.50	-9.774665	0.382634	0.452121	-0.001829	-0.002271	-0.004235	1.735827	0.009391	-0.222676	
43133	27.50	-9.791623	0.399703	0.437501	-0.005285	0.000398	-0.003387	1.734476	0.008208	-0.222033	
43134	27.50	-9.781930	0.389956	0.444818	-0.001854	-0.000535	0.000985	1.736178	0.010187	-0.223393	
43135	27.50	-9.767338	0.380298	0.437626	0.006853	-0.007572	-0.011948	1.733169	0.009163	-0.223866	
43136	27.50	-9.762572	0.387306	0.471526	0.000771	-0.015553	-0.012148	1.734795	0.009537	-0.220635	
43137	27.50	-9.786850	0.384981	0.466598	0.010202	-0.012159	0.003644	1.734980	0.008332	-0.221872	
43138	27.50	-9.767392	0.380164	0.456994	0.005008	-0.005945	0.007957	1.735943	0.010041	-0.223038	
43139	27.50	-9.781967	0.375363	0.456949	0.005099	-0.007598	-0.008513	1.736017	0.009317	-0.221045	
43140	27.50	-9.772292	0.372821	0.471516	0.000770	0.002157	-0.003276	1.732484	0.006784	-0.221812	
43141	27.50	-9.767373	0.375378	0.449740	0.009319	-0.007751	0.009739	1.734547	0.010685	-0.220896	
43142	27.50	-9.757677	0.375304	0.457039	0.001550	-0.013015	0.004347	1.735219	0.008346	-0.222103	
43143	27.50	-9.781965	0.385036	0.456932	0.006808	0.006538	0.002079	1.734193	0.009395	-0.223168	
43144	27.50	-9.774695	0.370475	0.461827	0.004242	0.002158	-0.004949	1.736349	0.011286	-0.222504	
43145	27.50	-9.794102	0.389919	0.454457	-0.000068	-0.006667	-0.012047	1.734010	0.008422	-0.221320	
43146	27.50	-9.784398	0.370533	0.456949	-0.005371	-0.005911	0.007786	1.737611	0.009871	-0.221673	
43147	27.50	-9.767373	0.375378	0.449740	-0.006992	-0.012843	-0.013977	1.736101	0.008341	-0.221790	
43148	27.50	-9.755260	0.380101	0.461881	-0.005355	-0.004113	0.006070	1.736085	0.009767	-0.222531	
43149	27.50	-9.781952	0.382651	0.452094	-0.012241	-0.004936	-0.000110	1.735075	0.009391	-0.222855	
43150	27.50	-9.781966	0.380200	0.456941	-0.012285	-0.007650	0.005918	1.734371	0.008455	-0.224653	
43151	27.50	-9.767376	0.363286	0.449761	0.017955	-0.001599	0.015152	1.736193	0.010681	-0.223141	
43152	27.50	-9.762496	0.370580	0.442503	0.006700	-0.013087	0.011362	1.734195	0.007091	-0.222557	
43153	27.50	-9.755260	0.380101	0.461881	0.005087	-0.001410	-0.003248	1.736469	0.008862	-0.222009	
43154	27.50	-9.767405	0.380130	0.461836	0.003364	0.006574	-0.000581	1.733212	0.009370	-0.222867	
43155	27.50	-9.777118	0.392245	0.461779	0.003318	-0.004117	0.001893	1.733927	0.011715	-0.224172	
43156	27.50	-9.762509	0.372964	0.447341	-0.016497	0.000487	-0.008782	1.734760	0.009192	-0.221386	
43157	27.50	-9.767420	0.375260	0.466687	0.015418	0.003803	0.007381	1.733493	0.007545	-0.221610	
43158	27.50	-9.762552	0.360773	0.461889	0.000702	-0.001476	0.007068	1.735756	0.010097	-0.221558	
43159	27.50	-9.755236	0.370495	0.452214	0.013669	-0.007730	0.005479	1.734417	0.009937	-0.223896	
43160	27.50	-9.755235	0.372913	0.452210	-0.000149	-0.005882	0.002672	1.736489	0.008327	-0.221388	
43161	27.50	-9.764963	0.380158	0.457003	-0.012180	-0.001309	-0.008730	1.734574	0.009134	-0.222893	
43162	27.50	-9.764922	0.380259	0.442477	-0.008766	-0.005812	-0.002664	1.734936	0.010045	-0.223360	
43163	27.50	-9.767399	0.377729	0.459420	0.005064	-0.005871	-0.001568	1.736143	0.009445	-0.221035	
43164	27.50	-9.767351	0.382683	0.442463	0.004975	-0.021932	0.006034	1.733375	0.008176	-0.221616	
43165	27.50	-9.772216	0.380260	0.444871	-0.005351	-0.015625	-0.000125	1.733892	0.010461	-0.221692	
43166	27.50	-9.781952	0.382651	0.452094	0.006763	-0.007692	0.002774	1.733702	0.008615	-0.222835	
43167	27.50	-9.767381	0.370524	0.452170	0.012030	-0.004063	-0.008358	1.734325	0.009643	-0.223033	
43168	27.56	-9.772553	0.380065	0.456867	-0.001912	-0.020056	-0.004494	1.736114	0.009005	-0.222454	
43169	27.56	-9.767701	0.380036	0.459306	0.006755	-0.005008	0.000161	1.734270	0.008324	-0.221844	
43170	27.56	-9.772537	0.389771	0.452007	-0.003707	-0.011281	0.011171	1.735427	0.011362	-0.221621	
43171	27.56	-9.772560	0.380048	0.459288	-0.007122	0.006504	0.012191	1.734377	0.008601	-0.222333	
43172	27.56	-9.772607	0.379931	0.476235	0.003305	-0.005867	-0.002505	1.734531	0.010487	-0.222064	
43173	27.56	-9.767713	0.363092	0.461757	0.011954	-0.005012	-0.001487	1.735887	0.009107	-0.221972	
43174	27.56	-9.767730	0.372714	0.469003	-0.000163	-0.009408	-0.002608	1.735685	0.011497	-0.224465	
43175	27.56	-9.767703	0.372781	0.459319	-0.000208	-0.013010	0.003411	1.735990	0.010028	-0.222707	
43176	27.56	-9.777389	0.384963	0.449577	-0.001810	0.015503	-0.004063	1.733968	0.009661	-0.223478	
43177	27.56	-9.782295	0.382440	0.466511	-0.005315	-0.008457	-0.008740	1.735493	0.012070	-0.223231	
43178	27.56	-9.774971	0.370431	0.452033	-0.008820	0.001237	0.004305	1.734171	0.010611	-0.224828	
43179	27.56	-9.777414	0.370404	0.456866	-0.001182	-0.028209	0.014472	1.735078	0.009043	-0.223525	
43180	27.56	-9.762822	0.360745	0.449674	0.008540	0.004802	-0.004026	1.737079	0.007898	-0.222886	
43181	27.56	-9.762846	0.370351	0.459341	-0.009695	-0.009398	0.000696	1.734202	0.008657	-0.223590	
43182	27.56	-9.777426	0.375207	0.461699	-0.003587	-0.007579	-0.007836	1.735763	0.011152	-0.222469	
43183	27.56	-9.767681	0.380086	0.452042	-0.000161	-0.004093	0.000056	1.733139	0.008326	-0.222176	
43184	27.56	-9.772556	0.370392	0.456884	-0.005407	-0.007692	0.007718	1.735879	0.009371	-0.222220	
43185	27.56	-9.765274	0.375194	0.459323	-0.001853	-0.004922	-0.006912	1.736108	0.008373	-0.222457	
43186	27.56	-9.767704	0.370363	0.459323	0.001497	-0.009507	0.009543	1.735313	0.011235	-0.224368	
43187	27.56	-9.762837	0.380041	0.456902	-0.001871	-0.007601	-0.005212	1.735127	0.008860	-0.222277	
43188	27.56	-9.762835	0.384877	0.456894	-0.003595	-0.007588	-0.006106	1.734018	0.008069	-0.221864	
43189	27.56	-9.767684	0.370413	0.452060	-0.008766	0.000424	-0.005232	1.735186	0.009447	-0.224013	
43190	27.56	-9.765279	0.380013	0.461736	-0.005346	-0.000525	0.000877	1.734611	0.008108	-0.222567	
43191	27.56	-9.762823	0.380074	0.452060	-0.010473	0.004890	-0.006938	1.735226	0.009401	-0.223014	
43192	27.56	-9.777373	0.372922	0.442335	-0.000200	-0.005919	0.006097	1.735524	0.010116	-0.221993	
43193	27.56	-9.779815	0.375313	0.447164	0.003317	-0.012055	-0.006907	1.733625	0.008600	-0.222513	
43194	27.56	-9.774990	0.375217	0.459287	0.005027	-0.002343	0.001031	1.736412	0.009095	-0.224299	
43195	27.56	-9.767681	0.382505	0.452038	-0.007151	-0.014790	0.006739	1.733951	0.006994	-0.223243	
43196	27.56	-9.767679	0.389759	0.452025	-0.003615	-0.014701	-0.006189	1.735993	0.010792	-0.222827	
43197	27.50	-9.777096	0.375385	0.452125	-0.006194	-0.016479	-0.004479	1.735329	0.007979	-0.222346	
43198	27.50	-9.786805	0.375425	0.449668	0.008432	-0.014865	0.009644	1.735055	0.010437	-0.223598	
43199	27.50	-9.772247	0.389849	0.456959	0.023163	-0.008679	0.008231	1.735551	0.010314	-0.223563	
43200	27.50	-9.772242	0.385029	0.454547	-0.008794	-0.000535	0.004329	1.732418	0.008778	-0.223923	
43201	27.50	-9.781926	0.380300	0.442414	0.005880	-0.004172	0.007997	1.737042	0.010458	-0.223578	
43202	27.50	-9.781940	0.399596	0.449642	0.010274	-0.007637	-0.005824	1.735064	0.007868	-0.222739	
43203	27.50	-9.767393	0.375327	0.457003	0.001554	-0.013010	0.003484	1.734114	0.009854	-0.222176	
43204	27.50	-9.764965	0.372903	0.457016	-0.001819	-0.012882	-0.011294	1.735326	0.012076	-0.223446	
43205	27.50	-9.777099	0.387459	0.454524	0.010184	-0.012182	0.007107	1.734522	0.009576	-0.224264	
43206	27.50	-9.767378	0.380197	0.452152	-0.005329	-0.005853	0.000857	1.736072	0.010548	-0.223026	
43207	27.50	-9.767393	0.375327	0.457003	-0.003645	-0.005920	0.008677	1.733770	0.009065	-0.224321	
43208	27.50	-9.777133	0.384957	0.466634	-0.013970	-0.002269	0.000757	1.735562	0.010814	-0.223435	
43209	27.50	-9.774679	0.380182	0.456967	0.008460	-0.003312	0.010646	1.734667	0.009554	-0.223755	
43210	27.50	-9.774663	0.365723	0.449730	-0.000073	0.006614	-0.004102	1.734826	0.008763	-0.225739	
43211	27.50	-9.777115	0.380171	0.459380	0.001604	-0.012946	-0.005172	1.735818	0.010040	-0.223047	
43212	27.50	-9.767400	0.375311	0.459424	0.003309	-0.005898	0.002732	1.733670	0.008012	-0.223462	
43213	27.50	-9.762547	0.380119	0.461854	-0.006205	0.004765	0.007896	1.734283	0.009051	-0.223910	
43214	27.50	-9.764948	0.360862	0.449775	0.003301	0.001175	0.008010	1.734106	0.010118	-0.222425	
43215	27.50	-9.762560	0.380085	0.466697	-0.000106	-0.002282	-0.003344	1.734372	0.009207	-0.221787	
43216	27.50	-9.767405	0.380130	0.461836	0.008467	-0.002415	0.009789	1.733941	0.009140	-0.223188	
43217	27.50	-9.767396	0.365654	0.457020	-0.008883	-0.015707	0.011935	1.733724	0.009230	-0.222457	
43218	27.50	-9.767394	0.370491	0.457012	-0.003630	-0.002357	0.007854	1.736247	0.010492	-0.221769	
43219	27.50	-9.769807	0.380203	0.452143	0.008524	-0.002341	0.000266	1.733673	0.008265	-0.223461	
43220	27.50	-9.767367	0.394724	0.449705	0.000769	-0.003161	-0.005068	1.734695	0.010801	-0.223374	
43221	27.50	-9.767374	0.370541	0.449748	-0.001795	-0.006653	-0.012085	1.734819	0.009268	-0.222999	
43222	27.50	-9.772208	0.385113	0.442441	0.008500	-0.002374	0.004597	1.733272	0.010083	-0.224601	
43223	27.50	-9.769802	0.375384	0.449731	-0.001940	-0.004189	0.013924	1.735465	0.009503	-0.222453	
43224	27.50	-9.777094	0.380221	0.452116	0.005932	-0.001444	0.000235	1.736248	0.009355	-0.224512	
43225	27.50	-9.774676	0.389855	0.456950	-0.009553	0.012007	-0.007657	1.736416	0.009292	-0.220393	
43226	27.50	-9.767396	0.365654	0.457020	-0.008799	-0.005854	0.002528	1.734066	0.008630	-0.223057	
43227	27.50	-9.755249	0.370461	0.457057	0.003336	0.001224	0.001949	1.735575	0.009136	-0.222696	
43228	27.50	-9.772263	0.380142	0.461819	0.013758	-0.002301	-0.007440	1.735322	0.010674	-0.223205	
43229	27.50	-9.772234	0.387464	0.452121	0.008593	0.000406	-0.010090	1.732352	0.006536	-0.221947	
43230	27.50	-9.772255	0.384996	0.459389	0.001609	0.011859	0.006383	1.734607	0.008841	-0.222021	
43231	27.50	-9.777093	0.385058	0.452108	-0.005284	-0.005795	-0.006932	1.733454	0.008228	-0.222730	
43232	27.50	-9.781951	0.385070	0.452090	0.013728	-0.009428	-0.005790	1.733876	0.008944	-0.221700	
43233	27.50	-9.777107	0.382606	0.456954	-0.000935	-0.012862	-0.014739	1.733858	0.008197	-0.221954	
43234	27.50	-9.755246	0.380134	0.457039	0.003229	-0.013088	0.013035	1.734307	0.011327	-0.223898	
43235	27.50	-9.767378	0.380197	0.452152	-0.000124	0.001234	0.001895	1.736436	0.011585	-0.223492	
43236	27.50	-9.762521	0.375349	0.452179	-0.003634	-0.011219	0.004283	1.734026	0.008291	-0.223933	
43237	27.50	-9.772292	0.372821	0.471516	-0.000094	-0.004925	-0.006839	1.736001	0.010742	-0.221786	
43238	27.50	-9.764950	0.375355	0.452170	0.001550	0.001154	0.011447	1.734341	0.009753	-0.222658	
43239	27.50	-9.774735	0.370375	0.476353	-0.012287	-0.016506	0.001477	1.734520	0.009835	-0.224387	
43240	27.50	-9.765012	0.370368	0.473968	0.013594	-0.016685	0.013165	1.735297	0.008784	-0.223340	
43241	27.50	-9.767393	0.375327	0.457003	0.007618	-0.011247	0.002741	1.734269	0.009195	-0.224284	
43242	27.50	-9.781977	0.389839	0.461765	0.008552	-0.000533	-0.004038	1.736075	0.010801	-0.223025	
43243	27.50	-9.774668	0.370542	0.452143	0.000687	-0.005041	0.007896	1.734960	0.009890	-0.222737	
43244	27.50	-9.772255	0.384996	0.459389	0.001578	-0.009436	0.000932	1.734329	0.009000	-0.222787	
43245	27.50	-9.762531	0.389825	0.456995	-0.012241	-0.001389	0.001661	1.733812	0.009145	-0.223322	
43246	27.50	-9.772263	0.380142	0.461819	-0.000121	-0.012932	-0.006068	1.734704	0.010152	-0.223003	
43247	27.50	-9.767433	0.375227	0.471530	0.003358	-0.007603	-0.006814	1.737143	0.012149	-0.224558	
43248	27.50	-9.772263	0.380142	0.461819	0.003344	-0.007624	-0.004214	1.733970	0.008468	-0.222318	
43249	27.50	-9.772250	0.380176	0.456976	-0.000143	-0.004991	0.001821	1.734392	0.010207	-0.221532	
43250	27.50	-9.774672	0.380199	0.454546	-0.012228	-0.012888	-0.006269	1.733567	0.001478	-0.224372	
43251	27.50	-9.767371	0.380214	0.449731	0.006775	-0.009446	0.000151	1.735756	0.009471	-0.224423	
43252	27.50	-9.762513	0.380202	0.449749	0.005045	-0.004124	0.002783	1.737702	0.008119	-0.222048	
43253	27.50	-9.777094	0.382639	0.452112	-0.000153	-0.008548	0.001780	1.736304	0.008395	-0.222895	
43254	27.50	-9.767398	0.380147	0.459415	0.001701	-0.002188	-0.016301	1.734353	0.011402	-0.222774	
43255	27.50	-9.772250	0.380176	0.456976	0.006819	-0.007616	-0.006753	1.732432	0.010168	-0.223915	
43256	27.50	-9.767378	0.380197	0.452152	0.001631	-0.002281	-0.004179	1.735489	0.009348	-0.221830	
43257	27.50	-9.760104	0.380146	0.457021	-0.003643	-0.008572	0.006913	1.735490	0.009474	-0.221829	
43258	27.50	-9.767398	0.380147	0.459415	-0.006208	-0.004982	0.003450	1.734671	0.010445	-0.223875	
43259	27.50	-9.764950	0.375355	0.452170	-0.000027	0.006676	-0.011895	1.735968	0.009501	-0.222292	
43260	27.50	-9.774719	0.380081	0.471494	-0.013900	-0.002175	-0.011366	1.733210	0.008732	-0.222745	
43261	27.50	-9.781927	0.375464	0.442423	0.004140	-0.011264	0.006150	1.736101	0.008853	-0.221912	
43262	27.50	-9.774706	0.380115	0.466652	0.013686	-0.009481	0.001133	1.735819	0.008632	-0.222680	
